Name,Created,Tags
Clean up your README,"February 13, 2020 11:06 AM",
Get rid of a warning,"February 13, 2020 11:06 AM",
Trim your branches,"February 13, 2020 11:06 AM",
Nuke TODO comments,"February 13, 2020 11:06 AM",
Extract compound conditional,"February 13, 2020 11:16 AM",
Slim down a large class,"February 13, 2020 11:18 AM",
bin/setup,"February 13, 2020 11:18 AM",
Run tests with wi-fi off,"February 13, 2020 11:20 AM",
Investigate slowest test,"February 13, 2020 11:21 AM",
Improve one name,"February 13, 2020 11:21 AM",
Tidy your PR/Issues,"February 13, 2020 11:22 AM",
Audit your dependencies,"February 13, 2020 11:22 AM",
Investigate long parameter lists,"February 13, 2020 11:23 AM",
Automate a repetitive action,"February 13, 2020 11:24 AM",
"RTFM, please","February 13, 2020 11:25 AM",
Audit your schema,"February 13, 2020 11:25 AM",
Investigate high-churn files,"February 13, 2020 11:27 AM",
Create/update your snippets,"February 13, 2020 11:28 AM",
Start plugging a knowledge gap,"February 13, 2020 11:30 AM",
